period,state,stateName,technology,sector,sectorName,capacity,customers,capacity-units,customers-units
2017,OH,Ohio,Photovoltaic,TOT,all sectors,104.648,4144,megawatts,number of customers
2017,OH,Ohio,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,OH,Ohio,Wind,COM,commercial,10.308,107,megawatts,number of customers
2017,OH,Ohio,Wind,IND,industrial,20.508,10,megawatts,number of customers
2017,OH,Ohio,Wind,RES,residential,1.809,253,megawatts,number of customers
2017,OH,Ohio,Wind,TOT,all sectors,32.625,370,megawatts,number of customers
2017,OH,Ohio,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,OK,Oklahoma,All Technologies,COM,commercial,2.652,125,megawatts,number of customers
2017,OK,Oklahoma,All Technologies,IND,industrial,0,0,megawatts,number of customers
2017,OK,Oklahoma,All Technologies,RES,residential,5.658,1633,megawatts,number of customers
2017,OK,Oklahoma,All Technologies,TOT,all sectors,8.31,1758,megawatts,number of customers
2017,OK,Oklahoma,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,OK,Oklahoma,Other Technologies,COM,commercial,.059,2,megawatts,number of customers
2017,OK,Oklahoma,Other Technologies,IND,industrial,0,0,megawatts,number of customers
2017,OK,Oklahoma,Other Technologies,RES,residential,.055,5,megawatts,number of customers
2017,OK,Oklahoma,Other Technologies,TOT,all sectors,.114,7,megawatts,number of customers
2017,OK,Oklahoma,Other Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,OK,Oklahoma,Photovoltaic,COM,commercial,.949,71,megawatts,number of customers
2017,OK,Oklahoma,Photovoltaic,IND,industrial,0,0,megawatts,number of customers
2017,OK,Oklahoma,Photovoltaic,RES,residential,3.194,673,megawatts,number of customers
2017,OK,Oklahoma,Photovoltaic,TOT,all sectors,4.143,744,megawatts,number of customers
2017,OK,Oklahoma,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,OK,Oklahoma,Wind,COM,commercial,.644,21,megawatts,number of customers
2017,OK,Oklahoma,Wind,IND,industrial,0,0,megawatts,number of customers
2017,OK,Oklahoma,Wind,RES,residential,.409,77,megawatts,number of customers
2017,OK,Oklahoma,Wind,TOT,all sectors,1.053,98,megawatts,number of customers
2017,OK,Oklahoma,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,OR,Oregon,All Technologies,COM,commercial,43.394,1364,megawatts,number of customers
2017,OR,Oregon,All Technologies,IND,industrial,11.448,218,megawatts,number of customers
2017,OR,Oregon,All Technologies,RES,residential,61.285,14401,megawatts,number of customers
